Date,Streamflow,Precip,Year,Month,Day
1957-03-06,0.4,0.2,1957,3,6
1957-03-07,0.36,0,1957,3,7
1957-03-08,0.36,0,1957,3,8
1957-03-09,0.36,0,1957,3,9
1957-03-10,0.4,0,1957,3,10
1957-03-11,0.4,0,1957,3,11
1957-03-12,0.4,3.7,1957,3,12
1957-03-13,0.4,5.1,1957,3,13
1957-03-14,0.4,4.8,1957,3,14
1957-03-15,0.4,1.8,1957,3,15
1957-03-16,0.4,0,1957,3,16
1957-03-17,0.4,0,1957,3,17
1957-03-18,0.4,0,1957,3,18
1957-03-19,0.4,0,1957,3,19
1957-03-20,0.4,0,1957,3,20
1957-03-21,0.4,1.3,1957,3,21
1957-03-22,0.4,0.8,1957,3,22
1957-03-23,0.36,0,1957,3,23
1957-03-24,0.36,0,1957,3,24
1957-03-25,0.36,0,1957,3,25
1957-03-26,0.36,0,1957,3,26
1957-03-27,0.36,0,1957,3,27
1957-03-28,0.36,0,1957,3,28
1957-03-29,0.321,0,1957,3,29
1957-03-30,0.321,0,1957,3,30
1957-03-31,0.321,0,1957,3,31
1957-04-01,0.321,0,1957,4,1
1957-04-02,0.36,0,1957,4,2
1957-04-03,0.4,0,1957,4,3
1957-04-04,0.442,0,1957,4,4
1957-04-05,0.486,4,1957,4,5
1957-04-06,0.486,1.9,1957,4,6
1957-04-07,0.486,0.1,1957,4,7
1957-04-08,0.486,0.3,1957,4,8
1957-04-09,0.486,0.1,1957,4,9
1957-04-10,0.486,1.9,1957,4,10
1957-04-11,0.486,0,1957,4,11
1957-04-12,0.486,0,1957,4,12
1957-04-13,0.532,0,1957,4,13
1957-04-14,0.532,0,1957,4,14
1957-04-15,0.532,0,1957,4,15
1957-04-16,0.532,0,1957,4,16
1957-04-17,0.532,2.5,1957,4,17
1957-04-18,0.532,0.2,1957,4,18
1957-04-19,0.532,0.1,1957,4,19
1957-04-20,0.532,0.2,1957,4,20
1957-04-21,0.58,0,1957,4,21
1957-04-22,0.58,0,1957,4,22
1957-04-23,0.629,0,1957,4,23
1957-04-24,0.68,0,1957,4,24
1957-04-25,0.68,0,1957,4,25
1957-04-26,0.733,0,1957,4,26
1957-04-27,0.733,0,1957,4,27
1957-04-28,0.788,0,1957,4,28
1957-04-29,0.788,3.5,1957,4,29
1957-04-30,0.788,0,1957,4,30
1957-05-01,0.788,0,1957,5,1
1957-05-02,0.788,1,1957,5,2
1957-05-03,0.788,0.1,1957,5,3
1957-05-04,0.788,0,1957,5,4
1957-05-05,0.788,0,1957,5,5
1957-05-06,0.788,0,1957,5,6
1957-05-07,0.788,0,1957,5,7
1957-05-08,0.788,0,1957,5,8
1957-05-09,0.788,5,1957,5,9
1957-05-10,0.844,1.5,1957,5,10
1957-05-11,0.961,0.3,1957,5,11
1957-05-12,1.282,0,1957,5,12
1957-05-13,1.825,0,1957,5,13
1957-05-14,2.4,0,1957,5,14
1957-05-15,2.603,0,1957,5,15
1957-05-16,3.026,0,1957,5,16
1957-05-17,4.918,7.6,1957,5,17
1957-05-18,6.529,2.9,1957,5,18
1957-05-19,6.955,4.9,1957,5,19
1957-05-20,8.903,9.7,1957,5,20
1957-05-21,9.695,0.2,1957,5,21
1957-05-22,9.217,0,1957,5,22
1957-05-23,9.06,0,1957,5,23
1957-05-24,7.834,0,1957,5,24
1957-05-25,7.685,0,1957,5,25
1957-05-26,7.834,0,1957,5,26
1957-05-27,8.287,0,1957,5,27
1957-05-28,8.593,0,1957,5,28
1957-05-29,9.695,0,1957,5,29
1957-05-30,11.516,0,1957,5,30
1957-05-31,14.347,0.3,1957,5,31
1957-06-01,14.715,0.8,1957,6,1
