Date,Streamflow,Year,Month,Day
01-Dec-00,,2000,12,1
01-Jan-01,,2001,1,1
01-Feb-01,,2001,2,1
01-Mar-01,1.72,2001,3,1
01-Apr-01,20.7,2001,4,1
01-May-01,144,2001,5,1
01-Jun-01,151,2001,6,1
01-Jul-01,92.5,2001,7,1
01-Aug-01,93.4,2001,8,1
01-Sep-01,35,2001,9,1
01-Oct-01,27.7,2001,10,1
01-Nov-01,,2001,11,1
01-Dec-01,,2001,12,1
01-Jan-02,,2002,1,1
01-Feb-02,,2002,2,1
01-Mar-02,3.04,2002,3,1
01-Apr-02,2.75,2002,4,1
01-May-02,136,2002,5,1
01-Jun-02,126,2002,6,1
01-Jul-02,65.2,2002,7,1
01-Aug-02,118,2002,8,1
01-Sep-02,42.9,2002,9,1
01-Oct-02,31.3,2002,10,1
01-Nov-02,,2002,11,1
01-Dec-02,,2002,12,1
01-Jan-03,,2003,1,1
01-Feb-03,,2003,2,1
01-Mar-03,1.42,2003,3,1
01-Apr-03,75.9,2003,4,1
01-May-03,281,2003,5,1
01-Jun-03,117,2003,6,1
01-Jul-03,120,2003,7,1
01-Aug-03,49.3,2003,8,1
01-Sep-03,13.7,2003,9,1
01-Oct-03,15.9,2003,10,1
01-Nov-03,,2003,11,1
01-Dec-03,,2003,12,1
01-Jan-04,,2004,1,1
01-Feb-04,,2004,2,1
01-Mar-04,2.12,2004,3,1
01-Apr-04,40,2004,4,1
01-May-04,80.3,2004,5,1
01-Jun-04,53,2004,6,1
01-Jul-04,13.4,2004,7,1
01-Aug-04,43,2004,8,1
01-Sep-04,62.4,2004,9,1
01-Oct-04,45.8,2004,10,1
01-Nov-04,,2004,11,1
01-Dec-04,,2004,12,1
01-Jan-05,,2005,1,1
01-Feb-05,,2005,2,1
01-Mar-05,1.64,2005,3,1
01-Apr-05,153,2005,4,1
01-May-05,276,2005,5,1
01-Jun-05,140,2005,6,1
01-Jul-05,66.6,2005,7,1
01-Aug-05,94.5,2005,8,1
01-Sep-05,44.8,2005,9,1
01-Oct-05,36.3,2005,10,1
01-Nov-05,,2005,11,1
01-Dec-05,,2005,12,1
01-Jan-06,,2006,1,1
01-Feb-06,,2006,2,1
01-Mar-06,3.31,2006,3,1
01-Apr-06,67.4,2006,4,1
01-May-06,148,2006,5,1
01-Jun-06,183,2006,6,1
01-Jul-06,119,2006,7,1
01-Aug-06,87.2,2006,8,1
01-Sep-06,12.8,2006,9,1
01-Oct-06,8.03,2006,10,1
01-Nov-06,,2006,11,1
01-Dec-06,,2006,12,1
